event_id,event_name,event_type,event_category,venue_name,area,city,country,latitude,longitude,venue_capacity,venue_transport_score,venue_nearby_bars,venue_parking_spaces,avg_taxi_wait_pre_event_mins,venue_historical_perf_index,event_date,day_of_week,day_of_week_num,month,season,start_hour,start_minute,end_hour,duration_hours,is_weekend,is_public_holiday,is_detty_december,expected_attendance,attendance_fill_rate,pre_book_ride_rate,base_ride_seeking_rate,weather_condition,weather_ride_uplift,weather_att_impact,social_buzz_score,nearby_competing_events,driver_supply_index,fuel_availability_index,road_congestion_index,security_index,power_reliability_index,public_transport_disruption,tube_strike_active,actual_ride_requests,demand_score,demand_level,drivers_needed,optimal_radius_meters,peak_booking_window_mins,driver_acted_on_prediction,driver_feedback_score,is_late_night_end,is_evening_end,weekend_late_night,transport_crowd_pressure,rain_late_night,infrastructure_stress,uk_disruption_score,buzz_capacity_ratio,competition_pressure,driver_supply_gap,log_attendance,end_time_period
EVT05018,Design Week,Exhibition,Arts,Eagle Square Abuja,Central Area,Abuja,Nigeria,9.05678,7.490477,20000,7,3,2000,12,0.884,2024-05-22,Wednesday,2,5,Rainy,15,30,19,4.5,0,0,0,12005,0.6002,0.087,0.236,Clear,1.0,1.0,49.1,1,0.477,0.9,1.0,0.85,0.6,0,0,2090,52.09,High,385,379,35,0,,0,1,0,1.8006,0.0,0.0775,0.0,4.5031,0.12,0.523,9.3932,Evening
EVT08582,We The Fest,Music Festival,Music,Birmingham Symphony Hall,City Centre,Birmingham,UK,52.47986,-1.902801,2262,9,22,200,5,1.035,2023-08-21,Monday,0,8,Summer,17,30,23,6.3,0,0,0,2087,0.9226,0.11,0.509,Overcast,1.04,0.98,61.2,1,0.406,1.0,1.0,1.0,1.0,0,0,1201,37.92,Medium,221,152,15,1,0.575,1,0,0,0.9226,1.04,0.0,0.0,7.0148,0.12,0.594,7.644,Night
EVT04702,Voter Mobilisation Drive,Political Rally,Politics,Eagle Square Abuja,Central Area,Abuja,Nigeria,9.055799,7.489781,20000,7,3,2000,12,0.884,2023-08-01,Tuesday,1,8,Rainy,15,30,19,4.3,0,0,0,11369,0.5685,0.043,0.122,Clear,1.0,1.0,,0,0.256,0.55,0.88,1.0,1.0,0,0,667,23.46,Low,176,452,15,1,0.562,0,1,0,1.7055,0.0,0.222,0.0,2.9348,0.0,0.744,9.3387,Evening
EVT08549,Startup Africa,Conference,Business,Alexandra Palace,Wood Green,London,UK,51.59393,-0.109467,10500,8,8,1200,6,1.116,2023-03-02,Thursday,3,3,Spring,8,30,17,9.8,0,0,0,8610,0.82,0.289,0.559,Light Rain,1.22,0.94,5.3,2,0.64,1.0,0.88,1.0,1.0,0,0,4556,69.19,High,1120,208,34,0,,0,0,0,1.64,0.0,0.0,0.0,0.5166,0.26,0.36,9.0608,Afternoon
EVT00155,Heritage Exhibition,Exhibition,Arts,Resorts World Arena,NEC,Birmingham,UK,52.451846,-1.725094,16000,8,8,6000,6,1.054,2024-10-20,Sunday,6,10,Autumn,14,30,19,5.8,1,0,0,7734,0.4834,0.051,0.301,Clear,1.0,1.0,54.4,1,0.627,1.0,0.75,1.0,1.0,1,0,3546,64.01,High,899,229,41,1,0.601,0,1,0,0.9668,0.0,0.0,0.4,5.0934,0.12,0.373,8.9535,Evening
EVT03272,City People Awards,Awards Ceremony,Entertainment,Civic Centre Lagos,Victoria Island,Lagos,Nigeria,6.428399,3.420548,1000,7,10,150,10,0.896,2024-05-15,Wednesday,2,5,Rainy,18,0,22,4.1,0,0,0,940,0.94,0.482,0.647,Clear,1.0,1.0,,1,0.6,1.0,0.7,0.85,0.75,0,0,583,20.51,Low,129,196,18,1,0.706,1,0,0,2.82,1.0,0.1425,0.0,8.1176,0.12,0.4,6.8469,Night
EVT11983,Wedding Gala Night,Wedding,Private,Tottenham Hotspur Stadium,Tottenham,London,UK,51.604226,-0.065846,62850,8,30,3000,5,1.017,2024-09-01,Sunday,6,9,Autumn,19,15,23,4.9,1,0,0,48963,0.779,0.444,0.51,Light Rain,1.22,0.94,41.5,0,0.53,1.0,1.0,1.0,1.0,0,0,27876,94.87,Very High,6412,190,15,1,0.886,1,0,1,1.558,1.22,0.0,0.0,3.4444,0.0,0.47,10.7988,Night
EVT05449,Digital Innovation Conference,Conference,Business,SSE Arena Wembley,Wembley,London,UK,51.552084,-0.280458,12500,9,15,1500,4,0.935,2024-03-16,Saturday,5,3,Spring,12,15,18,6.2,1,0,0,9324,0.7459,0.266,0.539,Overcast,1.04,0.98,62.3,1,0.486,1.0,1.0,1.0,1.0,0,0,2591,56.74,High,588,195,27,1,0.681,0,1,0,0.7459,0.0,0.0,0.0,5.9711,0.12,0.514,9.1405,Evening
EVT01459,Heritage Exhibition,Exhibition,Arts,Old Trafford,Trafford,Manchester,UK,53.463248,-2.29072,74310,8,15,8000,5,1.051,2023-04-26,Wednesday,2,4,Spring,14,45,18,4.9,0,0,0,24859,0.3345,0.144,0.278,Drizzle,1.14,0.96,12.4,0,0.324,1.0,1.0,1.0,1.0,0,0,5195,71.77,High,881,185,27,1,0.739,0,1,0,0.669,0.0,0.0,0.0,1.0151,0.0,0.676,10.121,Evening
EVT04155,Google for Africa Summit,Tech Summit,Business,Terra Kulture Arena,Victoria Island,Lagos,Nigeria,6.430886,3.42292,800,7,9,100,8,1.079,2024-07-09,Tuesday,1,7,Rainy,13,45,19,6.2,0,0,0,611,0.7638,0.442,0.55,Partly Cloudy,1.02,1.0,19.0,0,0.186,0.7,1.0,1.0,0.75,0,0,289,7.97,Low,59,242,45,1,0.441,0,1,0,2.2914,0.0,0.12,0.0,2.4721,0.0,0.814,6.4167,Evening
EVT11241,Revival Night,Religious Service,Religion,Old Trafford,Trafford,Manchester,UK,53.462389,-2.290801,74310,8,15,8000,5,1.051,2024-03-15,Friday,4,3,Spring,12,45,14,2.1,0,0,0,55758,0.7503,0.077,0.183,Light Rain,1.22,0.94,40.2,2,0.456,1.0,1.0,1.0,1.0,0,0,7550,79.25,Very High,2412,186,27,0,,0,0,0,1.5006,0.0,0.0,0.0,3.2908,0.26,0.544,10.9288,Afternoon
EVT13066,International Food Fair,Food Festival,Lifestyle,Wembley Stadium,Wembley,London,UK,51.556016,-0.279595,90000,9,25,10000,3,1.161,2024-03-28,Thursday,3,3,Spring,15,15,21,6.5,0,0,0,68534,0.7615,0.115,0.293,Clear,1.0,1.0,1.7,0,0.238,1.0,0.88,1.0,1.0,0,0,15244,88.84,Very High,3034,199,29,1,0.702,0,1,0,0.7615,0.0,0.0,0.0,0.137,0.0,0.762,11.1351,Evening
EVT04971,Startup Africa,Conference,Business,Lekki Phase 1 Event Park,Lekki,Lagos,Nigeria,6.470009,3.484523,3000,6,14,600,18,0.943,2023-05-27,Saturday,5,5,Rainy,9,0,17,8.9,1,0,0,2309,0.7697,0.356,0.624,Light Rain,1.3,0.88,0.3,1,0.396,1.0,1.0,1.0,0.75,0,0,1529,44.2,Medium,296,234,47,0,,0,0,0,3.0788,0.0,0.0,0.0,0.0333,0.12,0.604,7.745,Afternoon
EVT14043,Private Wedding Reception,Wedding,Private,Emirates Stadium,Holloway,London,UK,51.554165,-0.10891,60260,9,22,2500,4,0.889,2023-05-11,Thursday,3,5,Spring,16,15,21,5.6,0,0,0,48837,0.8104,0.588,0.525,Heavy Rain,1.42,0.85,2.2,1,0.328,1.0,0.88,1.0,1.0,0,0,25129,93.88,Very High,6629,177,26,1,0.955,0,1,0,0.8104,0.0,0.0,0.0,0.1832,0.12,0.672,10.7963,Evening
EVT11074,Africa Fashion International,Fashion Show,Lifestyle,Landmark Event Centre,Victoria Island,Lagos,Nigeria,6.435128,3.420683,3000,7,8,500,10,1.038,2023-09-22,Friday,4,9,Rainy,18,45,21,3.1,0,0,0,2327,0.7757,0.333,0.539,Clear,1.0,1.0,5.6,2,0.309,1.0,0.4,0.85,0.9,0,0,920,31.03,Medium,207,178,16,1,0.668,0,1,0,2.3271,0.0,0.2475,0.0,0.6218,0.26,0.691,7.7528,Evening
EVT06640,London Marathon,Marathon/Run,Sports,MUSON Centre,Onikan,Lagos,Nigeria,6.455665,3.398502,1200,7,5,200,8,1.102,2024-05-07,Tuesday,1,5,Rainy,7,0,11,4.7,0,0,0,830,0.6917,0.106,0.237,Humid,1.08,0.97,1.3,0,0.236,0.9,0.55,1.0,1.0,0,0,166,2.78,Low,55,284,20,0,,0,0,0,2.0751,0.0,0.1975,0.0,0.1607,0.0,0.764,6.7226,Midday
EVT06443,Revival Night,Religious Service,Religion,Etihad Stadium,East Manchester,Manchester,UK,53.482981,-2.200377,53400,8,10,5000,5,0.831,2023-01-07,Saturday,5,1,Winter,10,0,12,2.5,1,0,0,44776,0.8385,0.063,0.268,Light Rain,1.22,0.94,39.2,0,0.507,1.0,0.75,1.0,1.0,0,0,9351,82.71,Very High,1874,196,29,0,,0,0,0,1.677,0.0,0.0,0.0,3.2981,0.0,0.493,10.7094,Midday
EVT05656,Detty December Fest,Music Festival,Music,Harbour Point,Victoria Island,Lagos,Nigeria,6.435022,3.425784,2500,7,11,400,10,0.887,2024-09-12,Thursday,3,9,Rainy,11,45,22,11.9,0,0,0,1966,0.7864,0.14,0.41,Clear,1.0,1.0,68.4,1,0.36,0.9,0.55,1.0,1.0,0,0,584,20.55,Low,194,254,12,1,0.867,1,0,0,2.3592,1.0,0.1975,0.0,7.7512,0.12,0.64,7.5843,Night
EVT12230,Kano Pillars vs Heartland Derby,Football Match,Sports,Landmark Event Centre,Victoria Island,Lagos,Nigeria,6.435692,3.421247,3000,7,8,500,10,1.038,2023-02-06,Monday,0,2,Harmattan,16,15,18,2.2,0,0,0,2303,0.7677,0.034,0.305,Clear,1.0,1.0,,0,0.517,0.75,0.55,0.85,0.75,0,0,133,1.7,Low,36,241,29,0,,0,1,0,2.3031,0.0,0.295,0.0,1.9097,0.0,0.483,7.7424,Evening
EVT00379,Shooting Stars vs Lobi Stars,Football Match,Sports,Lekki Phase 1 Event Park,Lekki,Lagos,Nigeria,6.469683,3.484341,3000,6,14,600,18,0.943,2023-09-02,Saturday,5,9,Rainy,15,30,17,2.0,1,0,0,2523,0.841,0.066,0.29,Light Rain,1.3,0.88,40.4,0,0.603,1.0,1.0,1.0,1.0,0,0,1270,39.42,Medium,224,176,12,0,,0,0,0,3.364,0.0,0.0,0.0,4.4855,0.0,0.397,7.8336,Afternoon
EVT05464,Championship Boxing,Boxing/MMA Event,Sports,Balmoral Event Centre,Victoria Island,Lagos,Nigeria,6.43569,3.430793,2000,7,9,300,12,1.005,2023-02-04,Saturday,5,2,Harmattan,18,30,22,4.3,1,0,0,1489,0.7445,0.134,0.439,Light Rain,1.3,0.88,27.8,0,0.192,0.4,1.0,0.85,0.9,0,0,395,12.71,Low,128,299,9,0,,1,0,1,2.2335,1.3,0.2775,0.0,3.232,0.0,0.808,7.3065,Night
EVT06095,Arsenal vs Chelsea — Cup Final,Football Match,Sports,SSE Arena Wembley,Wembley,London,UK,51.551492,-0.279693,12500,9,15,1500,4,0.935,2024-01-21,Sunday,6,1,Winter,14,30,16,2.1,1,0,0,8267,0.6614,0.076,0.316,Light Rain,1.22,0.94,37.4,1,0.212,1.0,0.88,1.0,1.0,1,0,3147,61.3,High,632,230,30,1,0.615,0,0,0,0.6614,0.0,0.0,0.4,3.5846,0.12,0.788,9.0201,Afternoon
EVT13163,Detty December Fest,Music Festival,Music,Roundhouse Camden,Camden,London,UK,51.543072,-0.151011,3300,9,35,80,4,0.992,2024-07-29,Monday,0,7,Summer,15,45,0,9.5,0,0,0,2714,0.8224,0.155,0.356,Heavy Rain,1.42,0.85,44.9,1,0.8,1.0,1.0,1.0,1.0,0,0,1804,48.42,Medium,355,91,8,0,,1,0,0,0.8224,1.42,0.0,0.0,4.933,0.12,0.2,7.9065,Late Night
EVT13977,Contemporary Art Exhibition,Exhibition,Arts,Utilita Arena Birmingham,City Centre,Birmingham,UK,52.486961,-1.890932,15800,8,18,1000,5,0.87,2023-04-18,Tuesday,1,4,Spring,11,30,18,7.6,0,0,0,6773,0.4287,0.098,0.206,Overcast,1.04,0.98,17.3,1,0.377,1.0,0.75,1.0,1.0,0,0,996,33.07,Medium,203,186,50,1,0.8,0,1,0,0.8574,0.0,0.0,0.0,1.6217,0.12,0.623,8.8208,Evening
EVT01558,AI & Fintech Forum,Tech Summit,Business,International Conference Centre Abuja,CBD,Abuja,Nigeria,9.058563,7.494626,3000,7,5,500,10,0.944,2024-12-19,Thursday,3,12,Harmattan,12,15,19,7.2,0,0,1,2477,0.8257,0.511,0.622,Light Rain,1.3,0.88,21.2,1,0.49,0.9,1.0,1.0,1.0,0,0,1599,45.33,Medium,490,225,26,0,,0,1,0,2.4771,0.0,0.04,0.0,2.3538,0.12,0.51,7.8152,Evening
EVT11292,Revival Night,Religious Service,Religion,AO Arena Manchester,City Centre,Manchester,UK,53.487851,-2.243777,21000,9,40,2000,4,1.086,2024-12-28,Saturday,5,12,Winter,9,45,11,2.5,1,0,1,16279,0.7752,0.064,0.22,Overcast,1.04,0.98,33.0,0,0.352,1.0,0.75,1.0,1.0,0,0,4469,68.89,High,875,218,23,1,0.647,0,0,0,0.7752,0.0,0.0,0.0,3.0131,0.0,0.648,9.6977,Midday
EVT11716,Private Wedding Reception,Wedding,Private,O2 Arena,Greenwich,London,UK,51.503522,0.003904,20000,9,18,3000,4,1.084,2023-03-27,Monday,0,3,Spring,18,15,0,6.6,0,0,0,14735,0.7368,0.417,0.553,Overcast,1.04,0.98,60.3,2,0.301,1.0,1.0,1.0,1.0,1,0,9572,83.16,Very High,2837,183,12,0,,1,0,0,0.7368,1.04,0.0,0.4,5.5303,0.26,0.699,9.598,Late Night
EVT14330,African Heritage Day,Cultural Festival,Culture,Brixton Academy,Brixton,London,UK,51.465456,-0.115106,5000,9,30,50,5,1.24,2023-07-31,Monday,0,7,Summer,17,30,21,4.2,0,0,0,2790,0.558,0.064,0.344,Light Rain,1.22,0.94,6.5,1,0.387,1.0,0.88,1.0,1.0,1,0,1153,36.85,Medium,199,113,12,1,0.707,0,1,0,0.558,0.0,0.0,0.4,0.683,0.12,0.613,7.9342,Evening
EVT02457,Revival Night,Religious Service,Religion,O2 Arena,Greenwich,London,UK,51.503888,0.003152,20000,9,18,3000,4,1.084,2024-05-29,Wednesday,2,5,Spring,12,45,14,2.6,0,0,0,17587,0.8793,0.039,0.288,Overcast,1.04,0.98,7.1,0,0.396,1.0,0.75,1.0,1.0,0,0,2975,60.02,High,777,211,19,0,,0,0,0,0.8793,0.0,0.0,0.0,0.6512,0.0,0.604,9.775,Afternoon
EVT00624,Afro Nation,Music Festival,Music,MUSON Centre,Onikan,Lagos,Nigeria,6.454671,3.398299,1200,7,5,200,8,1.102,2024-05-05,Sunday,6,5,Rainy,17,30,23,6.1,1,0,0,871,0.7258,0.096,0.44,Partly Cloudy,1.02,1.0,21.9,1,0.397,0.8,0.88,0.7,0.9,0,0,371,11.64,Low,79,333,11,1,0.554,1,0,1,2.1774,1.02,0.197,0.0,2.7067,0.12,0.603,6.7708,Night
EVT11946,Nite of a Thousand Laughs,Comedy Show,Entertainment,MUSON Centre,Onikan,Lagos,Nigeria,6.454905,3.398561,1200,7,5,200,8,1.102,2023-01-01,Sunday,6,1,Harmattan,21,0,23,2.7,1,1,0,741,0.6175,0.134,0.311,Partly Cloudy,1.02,1.0,15.4,3,0.11,0.75,0.88,0.85,0.6,0,0,179,3.29,Low,34,299,9,1,0.492,1,0,1,1.8525,1.02,0.1795,0.0,1.9034,0.42,0.89,6.6093,Night
EVT06603,Coldplay Live,Concert,Music,GTBank Garage Ikeja,Ikeja,Lagos,Nigeria,6.548388,3.349371,4000,6,8,800,15,1.007,2023-04-11,Tuesday,1,4,Dry,19,45,22,3.3,0,0,0,2164,0.541,0.077,0.392,Heavy Rain,1.55,0.72,25.0,1,0.476,0.9,0.7,1.0,0.9,0,0,868,29.72,Medium,253,277,18,0,,1,0,0,2.164,1.55,0.145,0.0,2.6898,0.12,0.524,7.6802,Night
EVT07371,Contemporary Art Exhibition,Exhibition,Arts,Brixton Academy,Brixton,London,UK,51.465822,-0.115574,5000,9,30,50,5,1.24,2023-07-01,Saturday,5,7,Summer,13,30,19,6.8,1,0,0,2957,0.5914,0.064,0.247,Drizzle,1.14,0.96,40.5,0,0.552,1.0,1.0,1.0,1.0,0,0,782,27.18,Medium,136,111,38,0,,0,1,0,0.5914,0.0,0.0,0.0,4.2554,0.0,0.448,7.9923,Evening
EVT05189,Michael Dapaah Live,Comedy Show,Entertainment,Eko Hotel & Suites,Victoria Island,Lagos,Nigeria,6.430702,3.422226,5000,7,12,800,8,0.945,2023-07-20,Thursday,3,7,Rainy,19,45,21,2.3,0,0,0,3600,0.72,0.139,0.397,Humid,1.08,0.97,26.9,4,0.358,1.0,0.7,0.85,0.9,0,0,1577,44.97,Medium,312,277,21,1,0.551,0,1,0,2.16,0.0,0.1425,0.0,2.8264,0.6,0.642,8.189,Evening
EVT00022,Campaign Rally,Political Rally,Politics,GTBank Garage Ikeja,Ikeja,Lagos,Nigeria,6.547505,3.34863,4000,6,8,800,15,1.007,2024-01-03,Wednesday,2,1,Harmattan,14,30,17,3.8,0,0,0,2827,0.7067,0.024,0.258,Heavy Rain,1.55,0.72,46.8,0,0.747,0.9,1.0,0.85,0.75,0,0,1178,37.5,Medium,252,212,32,1,0.571,0,0,0,2.8268,0.0,0.0775,0.0,5.0353,0.0,0.253,7.9473,Afternoon
EVT08738,Wireless Festival,Music Festival,Music,International Conference Centre Abuja,CBD,Abuja,Nigeria,9.057682,7.495197,3000,7,5,500,10,0.944,2023-03-27,Monday,0,3,Dry,11,30,22,11.8,0,0,0,2348,0.7827,0.095,0.433,Clear,1.0,1.0,61.9,0,0.727,1.0,1.0,1.0,0.9,0,0,1160,36.98,Medium,368,424,17,0,,1,0,0,2.3481,1.0,0.0,0.0,6.8727,0.0,0.273,7.7617,Night
EVT08282,Man City vs Arsenal,Football Match,Sports,Resorts World Arena,NEC,Birmingham,UK,52.451908,-1.726138,16000,8,8,6000,6,1.054,2024-05-21,Tuesday,1,5,Spring,20,15,22,2.0,0,0,0,14611,0.9132,0.033,0.375,Clear,1.0,1.0,28.2,0,0.249,1.0,1.0,1.0,1.0,0,0,4413,68.63,High,1179,237,14,1,0.606,1,0,0,1.8264,1.0,0.0,0.0,2.6403,0.0,0.751,9.5896,Night
EVT03275,Lagos Fashion Week,Fashion Show,Lifestyle,Resorts World Arena,NEC,Birmingham,UK,52.451675,-1.725872,16000,8,8,6000,6,1.054,2023-01-18,Wednesday,2,1,Winter,17,45,20,3.6,0,0,0,11117,0.6948,0.365,0.524,Clear,1.0,1.0,18.8,0,0.195,1.0,0.88,1.0,1.0,0,0,5295,72.09,High,1267,191,32,1,0.65,0,1,0,1.3896,0.0,0.0,0.0,1.7602,0.0,0.805,9.3163,Evening
EVT06656,Private Wedding Reception,Wedding,Private,Roundhouse Camden,Camden,London,UK,51.542809,-0.151439,3300,9,35,80,4,0.992,2024-01-09,Tuesday,1,1,Winter,16,30,21,5.1,0,0,0,2485,0.753,0.543,0.492,Light Rain,1.22,0.94,29.3,0,0.339,1.0,0.75,1.0,1.0,0,0,1253,39.15,Medium,318,130,30,0,,0,1,0,0.753,0.0,0.0,0.0,3.2191,0.0,0.661,7.8184,Evening
EVT05228,Wireless Festival,Music Festival,Music,Roundhouse Camden,Camden,London,UK,51.543268,-0.152557,3300,9,35,80,4,0.992,2023-06-09,Friday,4,6,Summer,17,0,0,7.6,0,0,0,2817,0.8536,0.083,0.386,Overcast,1.04,0.98,43.3,1,0.437,1.0,1.0,1.0,1.0,0,0,1284,39.75,Medium,338,149,18,1,0.521,1,0,0,0.8536,1.04,0.0,0.0,4.7572,0.12,0.563,7.9438,Late Night
EVT10860,Carnival After Party,Club Night,Nightlife,Utilita Arena Birmingham,City Centre,Birmingham,UK,52.486971,-1.890104,15800,8,18,1000,5,0.87,2023-11-16,Thursday,3,11,Autumn,21,15,3,6.5,0,0,0,12190,0.7715,0.028,0.592,Heavy Rain,1.42,0.85,11.1,2,0.241,1.0,1.0,1.0,1.0,0,0,6413,75.97,Very High,1436,302,9,1,0.722,1,0,0,1.543,1.42,0.0,0.0,1.0405,0.26,0.759,9.4085,Late Night
EVT13682,African Heritage Day,Cultural Festival,Culture,Tottenham Hotspur Stadium,Tottenham,London,UK,51.604985,-0.067125,62850,8,30,3000,5,1.017,2023-07-30,Sunday,6,7,Summer,16,30,22,6.6,1,0,0,43704,0.6954,0.118,0.274,Overcast,1.04,0.98,4.1,2,0.382,1.0,0.88,1.0,1.0,0,0,8541,81.34,Very High,2717,210,19,1,0.655,1,0,1,1.3908,1.04,0.0,0.0,0.3403,0.26,0.618,10.6852,Night
EVT10094,City-wide Crusade,Religious Service,Religion,International Conference Centre Abuja,CBD,Abuja,Nigeria,9.057297,7.494666,3000,7,5,500,10,0.944,2023-04-10,Monday,0,4,Dry,9,45,12,3.6,0,1,0,3000,1.0,0.047,0.197,Partly Cloudy,1.02,1.0,14.5,1,0.297,0.8,0.88,1.0,0.75,0,0,131,1.65,Low,31,296,30,1,0.778,0,0,0,3.0,0.0,0.122,0.0,1.6099,0.12,0.703,8.0067,Midday
EVT10751,Charity 10K Run,Marathon/Run,Sports,Civic Centre Lagos,Victoria Island,Lagos,Nigeria,6.428896,3.421243,1000,7,10,150,10,0.896,2023-11-07,Tuesday,1,11,Dry,8,45,13,5.2,0,0,0,522,0.522,0.18,0.294,Storm,1.8,0.55,20.0,3,0.217,1.0,0.85,1.0,0.9,0,0,102,0.85,Low,24,300,19,0,,0,0,0,1.566,0.0,0.0525,0.0,2.5288,0.42,0.783,6.2596,Midday
EVT02890,Eyo Festival,Cultural Festival,Culture,Brixton Academy,Brixton,London,UK,51.464414,-0.11519,5000,9,30,50,5,1.24,2024-01-08,Monday,0,1,Winter,12,0,20,8.5,0,0,0,4194,0.8388,0.052,0.278,Clear,1.0,1.0,40.3,0,0.174,1.0,0.6,1.0,1.0,0,0,1220,38.4,Medium,302,60,31,0,,0,1,0,0.8388,0.0,0.0,0.0,4.2344,0.0,0.826,8.3416,Evening
